x_m	y_m
-56.35708230480617	26.825139675573613
-56.52302916916109	27.18636117585191
-56.689257345908224	27.54742642682639
-56.85565625127349	27.908390004374045
-57.02203773372758	28.269344989801123
-57.188213164401176	28.630384941753903
-57.3539937553116	28.99160325976532
-57.51919087758952	29.35309350248166
-57.68361574325229	29.71494906943585
-57.847264294909614	30.07717783673841
-58.010995585505825	30.439387112656348
-58.17592094219218	30.801067098035418
-58.34315169211994	31.161707993721425
-58.513799082883686	31.5208000801168
-58.68897444163469	31.877833637623993
-58.8697893341942	32.23229823063544
-59.057475138731554	32.58340330450141
-59.253576368477084	32.929624871612916
-59.459688134704514	33.26932080270309
-59.677208884594386	33.60101046854923
-59.9037899460757	33.92629240136197
-60.133723525715354	34.24952543164384
-60.36123500247579	34.57512551158792
-60.58352445884239	34.90518307230783
-60.802320024844484	35.238248829909665
-61.01972963406355	35.57257675411289
-61.237861140524394	35.90642057596695
-61.45882263692187	36.238034344748
-61.68472205683744	36.565671711948816
-61.91730487365491	36.88788474613889
-62.15656193835704	37.20466915125794
-62.401953618037574	37.51645692003494
-62.65294012067696	37.823680204312254
-62.90898157469899	38.12677107637551
-63.16953834719739	38.42616160851044
-63.43407064615264	38.72228411167266
-63.70203867954515	39.0155705785912
-63.97290265535538	39.30645316110839
-64.24612286112041	39.59536393150991
-64.52115942526402	39.88273512119474
-64.79747271488002	40.16899880244859
-65.07452293794879	40.45458712711376
-65.35177356427434	40.739929542105784
-65.62889594524464	41.025291528039105
-65.90588729637611	41.31068104058093
-66.1827735531439	41.59608360041699
-66.45958049190966	41.88148456911959
-66.73633404814854	42.16686930826111
-67.0130599982222	42.45222333852723
-67.28978427760578	42.7375320214903
-67.56653266266096	43.02278079827936
-67.84333100930616	43.30795503046675
-68.12020525301647	43.59304023873814
-68.39718117015357	43.87802178466594
-68.6742846961926	44.16288502982246
-68.95154160749523	44.44761557445006
-69.22897815776328	44.732197586771036
-69.5066244989754	45.016605131310286
-69.78451253335706	45.30080646495571
-70.06267456091715	45.58476968548181
-70.34114280210775	45.868462890663125
-70.61994923871107	46.15185433738752
-70.89912609117923	46.43491212342953
-71.17870557996447	46.717604505677
-71.4587197664055	46.999899422791124
-71.73920087095456	47.281765211216445
-72.02018103450709	47.56316996872749
-72.30169239795866	47.84408179309879
-72.58376710220466	48.12446894121821
-72.86643720858396	48.40429959041692
-73.14963573037875	48.683618292431305
-73.43301158399541	48.96268861851567
-73.71616316735371	49.24181312269366
-73.99868879881666	49.52129427943226
-74.28018695586066	49.80143464275512
-74.56025595684872	50.082536766685855
-74.83847423097588	50.36492977717658
-75.11298516418756	50.650866321395114
-75.37955132946264	50.9457899055102
-75.63370371030787	51.255443805230655
-75.86246239701535	51.585213052571234
-76.02803271964164	51.93943778221657
-76.08812195356482	52.32226862485863
-76.00649139823248	52.72013289402634
-75.77804505101929	53.02828150195576
-75.4201704999323	53.1514411174155
-75.0107297007509	53.18263504983921
-74.6085742242518	53.21589626238503
-74.2141051156186	53.25718999387664
-73.82268533466674	53.304887321454714
-73.43081208068446	53.35731469096692
-73.03806330552675	53.41267738344951
-72.64453511365336	53.46916023387394
-72.25032345041079	53.52494815676838
-71.85552449981546	53.57822606666105
-71.46023428677049	53.62717879852339
-71.0645485179523	53.67000526885789
-70.66853855569569	53.70579264440989
-70.27223709779285	53.73502900536222
-69.87567381888243	53.758325665182554
-69.47887815493308	53.77629401689524
-69.08187962147011	53.789545612638015
-68.6847075749055	53.79869160676523
-68.28739168987791	53.804343630971246
-67.88996140235595	53.80711307828047
-67.49244614830832	53.8076111826039
-67.09487544326028	53.806449496079246
-66.69727880273716	53.80423941173091
-66.2996857422643	53.801592322583254
-65.9021256978103	53.799119621660616
-65.50462524130366	53.79738584310758
-65.10718214515754	53.79650300271833
-64.70977811133736	53.79632933050334
-64.31239484180855	53.79672043110291
-63.91501372030991	53.797531988714056
-63.51761636925017	53.79861944886371
-63.120184331481454	53.79983841619221
-62.72271100379994	53.800867163517914
-62.32525104163933	53.80046866414782
-61.92787859181795	53.79711073613577
-61.53066796026741	53.78926135664895
-61.133693452919395	53.77538842329779
-60.73702929614887	53.75395983369285
-60.340749716330826	53.72344491746471
-59.9448776257868	53.683751229760475
-59.54928827965508	53.638922238434944
-59.15383059981555	53.59373969725898
-58.758355258394815	53.5528190070024
-58.36275016004204	53.51709941373493
-57.9669394872488	53.48393008914528
-57.57085315058708	53.450509206358774
-57.174710726471574	53.41389969215823
-56.77921366607937	53.37094012351148
-56.38510860877728	53.31844926777498
-55.99283247980795	53.254818886824154
-55.60191549702318	53.183042777783236
-55.21172303685037	53.10695183307941
-54.821698361698814	53.02990716299155
-54.43170025847572	52.95275644385991
-54.041726260924236	52.87551017716518
-53.65177390278753	52.79817822793472
-53.26184079736546	52.72077054075248
-52.87192447840118	52.643297060202514
-52.48202247963787	52.56576765131212
-52.09213241437536	52.48819225866531
-51.70225181635681	52.410580826846086
-51.3123782193254	52.33294314132509
-50.922509157024294	52.25528930579967
-50.532642322310004	52.17762910574049
