x_m	y_m
-12.356298627815773	-15.484537432144183
-12.608413737071816	-15.275874513208167
-12.859967780835696	-15.066384943389021
-13.11110087829643	-14.856294666514415
-13.361953017812764	-14.645829626412027
-13.612664187743524	-14.43521563607929
-13.863374441862591	-14.224678639343887
-14.114223703113623	-14.014444645448608
-14.365352090685638	-13.804739467390887
-14.616899527522309	-13.595788983583285
-14.868980032179383	-13.387787476934946
-15.120744712632643	-13.179753066480785
-15.370121675757014	-12.969210378629857
-15.614960006961327	-12.753587552487867
-15.85310885706957	-12.530312792575632
-16.082417246075483	-12.296814107168606
-16.3007342593879	-12.050519766202735
-16.50524671973145	-11.78900967186425
-16.683668293678778	-11.512035312108775
-16.816637740814027	-11.220969946569884
-16.884624003067366	-10.917225887708359
-16.87586746956518	-10.602828191422685
-16.80827088518718	-10.282141616241487
-16.70681321010411	-9.960088977090004
-16.59491685168425	-9.641006707749504
-16.485166240060984	-9.325147572247237
-16.38553613262632	-9.011027563149892
-16.303984082595477	-8.697156131512061
-16.248467839429015	-8.382042793803466
-16.226945087172396	-8.064197001078695
-16.247373575286176	-7.742128466052831
-16.318365008194828	-7.419529414396258
-16.45097885873272	-7.1194866739069305
-16.64570024543664	-6.858449530892743
-16.862753700273267	-6.61229373915299
-17.075637202811386	-6.363029093791257
-17.28515143413112	-6.111398841411498
-17.493715249158935	-5.859255865313932
-17.702949765421593	-5.607829119375374
-17.912837778742304	-5.357066860235176
-18.123160933447398	-5.10676002116686
-18.33370087386325	-4.856699470028827
-18.5442392443162	-4.606676009264362
-18.754557623717467	-4.356480637562102
-18.96443765639342	-4.105904157365335
-19.17366092125528	-3.8547374365324534
-19.382009062629404	-3.6027713429218653
-19.589263790257263	-3.3497968752222165
-19.795206617634957	-3.0956047704616574
-19.99961918908884	-2.839986027328839
-20.20228314894528	-2.5827314482670394
-20.403062826243456	-2.323710203034409
-20.602908964350906	-2.063819917920286
-20.80353746730462	-1.8046826916782548
-21.006680135015994	-1.547935603124596
-21.214068963641736	-1.2952157964907063
-21.42743581850838	-1.048160416007986
-21.64851249952727	-0.8084066713229555
-21.87881428255956	-0.5774564281969412
-22.118426011017057	-0.35591974804769155
-22.366853081170472	-0.14404527374984696
-22.623599319327543	0.05791939846389284
-22.888168486380977	0.24972667236082802
-23.1600642778083	0.43112895170824667
-23.43879038908704	0.6018787056885768
-23.722790332829902	0.7636016308870546
-24.006735916607276	0.9245862156156455
-24.284460849460245	1.0946016848635864
-24.549937912977004	1.2831824233359947
-24.801448651930833	1.492591925047131
-25.04230784674438	1.7165995959742162
-25.27609370453227	1.9485184407957694
-25.50351787639504	2.184936406804333
-25.719597888817173	2.428946582577736
-25.918678866255163	2.6844101610437177
-26.09570703271167	2.9547963023103176
-26.25324162396266	3.238608700901486
